,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
1681,1697233385668.0,10,1,10.2,10.2,0,True,True
1682,1697233383288.8801,11,0,14.5,41.5,1,True,True
1683,1697233385738.0,1,1,12.6,12.6,0,True,True
1684,1697233385682.0,2,0,7.7,32.0,0,True,True
1685,1697233385645.0,3,1,81.3,0.0,0,True,True
1686,1697233385744.0,4,1,33.8,0.0,0,True,True
1687,1697233385177.0,5,1,85.7,85.7,1,True,True
1688,1697233385621.0,6,1,20.3,20.3,0,True,True
1689,1697233383393.889,7,0,11.7,11.7,0,True,True
1690,1697233385618.0,8,1,50.6,0.0,1,True,True
1691,1697233385702.0,9,1,18.6,18.6,0,True,True
1692,1697233383369.89,10,1,7.9,7.9,0,True,True
1693,1697233385676.0,11,0,16.9,43.9,1,True,True
1694,1697233385938.0,1,1,12.8,12.8,0,True,True
1695,1697233385782.0,2,0,7.8,32.1,0,True,True
1696,1697233385845.0,3,1,81.5,0.0,0,True,True
1697,1697233385844.0,4,1,33.9,0.0,0,True,True
1698,1697233385377.0,5,1,85.9,85.9,1,True,True
1699,1697233385821.0,6,1,20.5,20.5,0,True,True
1700,1697233385883.0,7,0,14.2,14.2,0,True,True
1701,1697233385818.0,8,1,50.8,0.0,1,True,True
1702,1697233385801.0,9,1,18.7,18.7,0,True,True
1703,1697233385868.0,10,1,10.4,10.4,0,True,True
1704,1697233385776.0,11,0,17.0,44.0,1,True,True
1705,1697233383623.894,1,1,10.5,10.5,0,True,True
1706,1697233385882.0,2,0,7.9,32.2,0,True,True
1707,1697233385945.0,3,1,81.6,0.0,0,True,True
1708,1697233385944.0,4,1,34.0,0.0,0,True,True
1709,1697233385478.0,5,1,86.0,86.0,1,True,True
1710,1697233385921.0,6,1,20.6,20.6,0,True,True
1711,1697233385983.0,7,0,14.3,14.3,0,True,True
1712,1697233385918.0,8,1,50.9,0.0,1,True,True
1713,1697233386001.0,9,1,18.9,18.9,0,True,True
1714,1697233385968.0,10,1,10.5,10.5,0,True,True
1715,1697233385876.0,11,0,17.1,44.1,1,True,True
1716,1697233386038.0,1,1,12.9,12.9,0,True,True
1717,1697233385982.0,2,0,8.0,32.3,0,True,True
1718,1697233386045.0,3,1,81.7,0.0,0,True,True
1719,1697233386043.0,4,1,34.1,0.0,0,True,True
1720,1697233385577.0,5,1,86.1,86.1,1,True,True
1721,1697233386020.0,6,1,20.7,20.7,0,True,True
1722,1697233386082.0,7,0,14.4,14.4,0,True,True
1723,1697233386018.0,8,1,51.0,0.0,1,True,True
1724,1697233386101.0,9,1,19.0,19.0,0,True,True
1725,1697233386068.0,10,1,10.6,10.6,0,True,True
1726,1697233386076.0,11,0,17.3,44.3,1,True,True
1727,1697233386138.0,1,1,13.0,13.0,0,True,True
1728,1697233386082.0,2,0,8.1,32.4,0,True,True
1729,1697233386145.0,3,1,81.8,0.0,0,True,True
1730,1697233386143.0,4,1,34.2,0.0,0,True,True
1731,1697233385677.0,5,1,86.2,86.2,1,True,True
1732,1697233386120.0,6,1,20.8,20.8,0,True,True
1733,1697233386182.0,7,0,14.5,14.5,0,True,True
1734,1697233386118.0,8,1,51.1,0.0,1,True,True
1735,1697233386201.0,9,1,19.1,19.1,0,True,True
1736,1697233386168.0,10,1,10.7,10.7,0,True,True
1737,1697233386176.0,11,0,17.4,44.4,1,True,True
1738,1697233386338.0,1,1,13.2,13.2,0,True,True
1739,1697233386282.0,2,0,8.3,32.6,0,True,True
1740,1697233386245.0,3,1,81.9,0.0,0,True,True
1741,1697233386243.0,4,1,34.3,0.0,0,True,True
1742,1697233385777.0,5,1,86.3,86.3,1,True,True
1743,1697233386220.0,6,1,20.9,20.9,0,False,True
1744,1697233386282.0,7,0,14.6,14.6,0,True,True
1745,1697233386218.0,8,1,51.2,0.0,1,True,True
1746,1697233386301.0,9,1,19.2,19.2,0,True,True
1747,1697233386268.0,10,1,10.8,10.8,0,True,True
1748,1697233386276.0,11,0,17.5,44.5,1,True,True
1749,1697233384059.8809,1,1,10.9,10.9,0,True,True
1750,1697233386382.0,2,0,8.4,32.7,0,True,True
1751,1697233386345.0,3,1,82.0,0.0,0,True,True
1752,1697233386444.0,4,1,34.5,0.0,0,True,True
1753,1697233385877.0,5,1,86.4,86.4,1,True,True
1754,1697233386421.0,6,1,21.1,21.1,0,True,True
1755,1697233386382.0,7,0,14.7,14.7,0,True,True
1756,1697233386419.0,8,1,51.4,0.0,1,True,True
1757,1697233386402.0,9,1,19.3,19.3,0,True,True
1758,1697233386469.0,10,1,11.0,11.0,0,True,True
1759,1697233386376.0,11,0,17.6,44.6,1,True,True
1760,1697233386538.0,1,1,13.4,13.4,0,True,True
1761,1697233386483.0,2,0,8.5,32.8,0,True,True
1762,1697233386446.0,3,1,82.1,0.0,0,True,True
1763,1697233386543.0,4,1,34.6,0.0,0,True,True
1764,1697233385977.0,5,1,86.5,86.5,1,True,True
1765,1697233386520.0,6,1,21.2,21.2,0,True,True
1766,1697233386483.0,7,0,14.8,14.8,0,True,True
1767,1697233384168.886,8,1,49.1,0.0,1,True,True
1768,1697233386501.0,9,1,19.4,19.4,0,True,True
1769,1697233386568.0,10,1,11.1,11.1,0,True,True
1770,1697233386477.0,11,0,17.7,44.7,1,True,True
1771,1697233386638.0,1,1,13.5,13.5,0,True,True
1772,1697233386582.0,2,0,8.6,32.9,0,True,True
1773,1697233386545.0,3,1,82.2,0.0,0,True,True
1774,1697233386643.0,4,1,34.7,0.0,0,True,True
1775,1697233386076.0,5,1,86.6,86.6,1,True,True
1776,1697233384267.8882,6,0,-2.3,18.9,1,True,True
1777,1697233386582.0,7,0,14.9,14.9,0,True,True
